removed,removed_n,dominant_lineage,dominant_n,replication_positive_n,retained_n
none,0,T_cell,7,9,10
0,1,T_cell,7,8,9
1,1,T_cell,6,8,9
2,1,T_cell,6,8,9
3,1,T_cell,6,9,9
4,1,T_cell,7,8,9
5,1,T_cell,6,8,9
6,1,T_cell,6,8,9
7,1,T_cell,6,8,9
8,1,T_cell,7,8,9
9,1,T_cell,6,8,9
"0,1",2,T_cell,6,7,8
"0,2",2,T_cell,6,7,8
"0,3",2,T_cell,6,8,8
"0,4",2,T_cell,7,7,8
"0,5",2,T_cell,6,7,8
"0,6",2,T_cell,6,7,8
"0,7",2,T_cell,6,7,8
"0,8",2,T_cell,7,7,8
"0,9",2,T_cell,6,7,8
"1,2",2,T_cell,5,7,8
"1,3",2,T_cell,5,8,8
"1,4",2,T_cell,6,7,8
"1,5",2,T_cell,5,7,8
"1,6",2,T_cell,5,7,8
"1,7",2,T_cell,5,7,8
"1,8",2,T_cell,6,7,8
"1,9",2,T_cell,5,7,8
"2,3",2,T_cell,5,8,8
"2,4",2,T_cell,6,7,8
"2,5",2,T_cell,5,7,8
"2,6",2,T_cell,5,7,8
"2,7",2,T_cell,5,7,8
"2,8",2,T_cell,6,7,8
"2,9",2,T_cell,5,7,8
"3,4",2,T_cell,6,8,8
"3,5",2,T_cell,5,8,8
"3,6",2,T_cell,5,8,8
"3,7",2,T_cell,5,8,8
"3,8",2,T_cell,6,8,8
"3,9",2,T_cell,5,8,8
"4,5",2,T_cell,6,7,8
"4,6",2,T_cell,6,7,8
"4,7",2,T_cell,6,7,8
"4,8",2,T_cell,7,7,8
"4,9",2,T_cell,6,7,8
"5,6",2,T_cell,5,7,8
"5,7",2,T_cell,5,7,8
"5,8",2,T_cell,6,7,8
"5,9",2,T_cell,5,7,8
"6,7",2,T_cell,5,7,8
"6,8",2,T_cell,6,7,8
"6,9",2,T_cell,5,7,8
"7,8",2,T_cell,6,7,8
"7,9",2,T_cell,5,7,8
"8,9",2,T_cell,6,7,8
