gene,score,logfoldchange,pvals_adj
ACTG1,5.1157455,2.5543928,0.0020989795644048457
CFL1,5.0157714,1.8198872,0.0020989795644048457
GAPDH,4.9873233,2.7942424,0.0020989795644048457
KIAA0101,4.9060435,9.476293,0.0025489333880382107
SLC25A5,4.81054,2.9814017,0.002970020034623482
STMN1,4.809118,6.4161434,0.002970020034623482
ACTB,4.7589273,1.639196,0.0033363478872714372
FABP5,4.6989837,5.5724554,0.0038860436897327337
H2AFV,4.6825247,3.5277846,0.0038860436897327337
PFN1,4.5955553,1.7363702,0.005380855350993568
TUBB,4.562637,3.9280186,0.005773036423413346
PCNA,4.542927,5.137209,0.005852562079370702
SNRPB,4.4756675,3.0167751,0.007164725165498949
HMGB2,4.440717,4.246175,0.007164725165498949
CCT5,4.4256806,3.500187,0.007164725165498949
HMGB1,4.422023,2.747215,0.007164725165498949
SRSF3,4.4187717,2.6903195,0.007164725165498949
ATP5B,4.400484,2.8123603,0.007406227421358837
TYMS,4.3614697,9.496227,0.008389032860223517
HNRNPA2B1,4.3521223,2.4931364,0.008389032860223517
ZWINT,4.3427753,8.027962,0.008389032860223517
PARK7,4.331396,2.5623624,0.008466499205091627
CHCHD2,4.2887244,2.1034946,0.008996816086412781
MMADHC,4.2838473,3.0571153,0.008996816086412781
CDK4,4.2474747,3.6851301,0.009862473318644727
PKM,4.2375183,2.9705005,0.009862473318644727
CYCS,4.233454,2.9975488,0.009862473318644727
PTTG1,4.1830606,5.533414,0.011952399116453216
PSMB2,4.167821,3.5307045,0.012404137276817153
CORO1A,4.146891,1.9042902,0.01291815144130266
DDX39A,4.1340895,3.706275,0.01291815144130266
LDHA,4.1318545,2.776234,0.01291815144130266
H2AFZ,4.127181,3.2394865,0.01291815144130266
TUBA1B,4.1227107,3.9460845,0.01291815144130266
C12orf75,4.1135664,3.716286,0.01291815144130266
CYC1,4.1082835,3.163757,0.01291815144130266
NPM1,4.1001554,1.8345294,0.01291815144130266
SLC25A3,4.0973105,2.4419549,0.01291815144130266
SUB1,4.0940595,2.9468613,0.01291815144130266
HMGN2,4.071911,3.3700843,0.013596265282004928
PPP1CA,4.0587025,2.6117306,0.013596265282004928
CLIC1,4.0584993,2.1583283,0.013596265282004928
DUT,4.0536227,3.0939012,0.013596265282004928
CKS2,4.0530133,4.4226055,0.013596265282004928
SNRNP25,4.03757,4.6757994,0.014243502095506459
COX8A,4.0196886,2.6880248,0.015078971298338111
TPI1,4.009935,2.6565158,0.015306956372272073
CARHSP1,4.000791,3.4393754,0.015306956372272073
YBX1,3.984738,1.8203217,0.015973162533740818
OTUB1,3.961167,2.7775962,0.01733643241250482
