control,draw,passes
known_B_cluster_3,0,True
known_B_cluster_3,1,True
known_B_cluster_3,2,True
known_B_cluster_3,3,True
known_B_cluster_3,4,True
known_B_cluster_3,5,True
known_B_cluster_3,6,True
known_B_cluster_3,7,True
known_B_cluster_3,8,True
known_B_cluster_3,9,True
known_B_cluster_3,10,True
known_B_cluster_3,11,True
known_B_cluster_3,12,True
known_B_cluster_3,13,True
known_B_cluster_3,14,True
known_B_cluster_3,15,True
known_B_cluster_3,16,True
known_B_cluster_3,17,True
known_B_cluster_3,18,True
known_B_cluster_3,19,True
known_B_cluster_3,20,True
known_B_cluster_3,21,True
known_B_cluster_3,22,True
known_B_cluster_3,23,True
known_B_cluster_3,24,True
known_B_cluster_3,25,True
known_B_cluster_3,26,True
known_B_cluster_3,27,True
known_B_cluster_3,28,True
known_B_cluster_3,29,True
known_B_cluster_3,30,True
known_B_cluster_3,31,True
known_B_cluster_3,32,True
known_B_cluster_3,33,True
known_B_cluster_3,34,True
known_B_cluster_3,35,True
known_B_cluster_3,36,True
known_B_cluster_3,37,True
known_B_cluster_3,38,True
known_B_cluster_3,39,True
known_B_cluster_3,40,True
known_B_cluster_3,41,True
known_B_cluster_3,42,True
known_B_cluster_3,43,True
known_B_cluster_3,44,True
known_B_cluster_3,45,True
known_B_cluster_3,46,True
known_B_cluster_3,47,True
known_B_cluster_3,48,True
known_B_cluster_3,49,True
known_B_cluster_3,50,True
known_B_cluster_3,51,True
known_B_cluster_3,52,True
known_B_cluster_3,53,True
known_B_cluster_3,54,True
known_B_cluster_3,55,True
known_B_cluster_3,56,True
known_B_cluster_3,57,True
known_B_cluster_3,58,True
known_B_cluster_3,59,True
known_B_cluster_3,60,True
known_B_cluster_3,61,True
known_B_cluster_3,62,True
known_B_cluster_3,63,True
known_B_cluster_3,64,True
known_B_cluster_3,65,True
known_B_cluster_3,66,True
known_B_cluster_3,67,True
known_B_cluster_3,68,True
known_B_cluster_3,69,True
known_B_cluster_3,70,True
known_B_cluster_3,71,True
known_B_cluster_3,72,True
known_B_cluster_3,73,True
known_B_cluster_3,74,True
known_B_cluster_3,75,True
known_B_cluster_3,76,True
known_B_cluster_3,77,True
known_B_cluster_3,78,True
known_B_cluster_3,79,True
known_B_cluster_3,80,True
known_B_cluster_3,81,True
known_B_cluster_3,82,True
known_B_cluster_3,83,True
known_B_cluster_3,84,True
known_B_cluster_3,85,True
known_B_cluster_3,86,True
known_B_cluster_3,87,True
known_B_cluster_3,88,True
known_B_cluster_3,89,True
known_B_cluster_3,90,True
known_B_cluster_3,91,True
known_B_cluster_3,92,True
known_B_cluster_3,93,True
known_B_cluster_3,94,True
known_B_cluster_3,95,True
known_B_cluster_3,96,True
known_B_cluster_3,97,True
known_B_cluster_3,98,True
known_B_cluster_3,99,True
random_10_owner_criteria,0,False
random_10_owner_criteria,1,False
random_10_owner_criteria,2,False
